CN101070507,南芬,本溪,辽宁,中国,41.10409,123.74838
CN101070601,丹东,丹东,辽宁,中国,40.124294,124.38304
CN101070602,凤城,丹东,辽宁,中国,40.457565,124.07107
CN101070603,宽甸,丹东,辽宁,中国,40.73041,124.78487
CN101070604,东港,丹东,辽宁,中国,39.88347,124.14944
CN101070605,元宝,丹东,辽宁,中国,40.136482,124.39781
CN101070606,振兴,丹东,辽宁,中国,40.102802,124.36115
CN101070607,振安,丹东,辽宁,中国,40.158558,124.42771
CN101070701,锦州,锦州,辽宁,中国,41.11927,121.13574
CN101070702,凌海,锦州,辽宁,中国,41.171738,121.364235
CN101070703,古塔,锦州,辽宁,中国,41.11572,121.13009
CN101070704,义县,锦州,辽宁,中国,41.537224,121.24283
CN101070705,黑山,锦州,辽宁,中国,41.691803,122.11791
CN101070706,北镇,锦州,辽宁,中国,41.598763,121.79596
CN101070707,凌河,锦州,辽宁,中国,41.114662,121.151306
CN101070708,太和,锦州,辽宁,中国,41.105377,121.1073
CN101070801,营口,营口,辽宁,中国,40.66743,122.23515
CN101070802,大石桥,营口,辽宁,中国,40.633972,122.5059
CN101070803,盖州,营口,辽宁,中国,40.405235,122.35554
CN101070804,站前,营口,辽宁,中国,40.66995,122.253235
CN101070805,西市,营口,辽宁,中国,40.663086,122.21007
CN101070806,鲅鱼圈,营口,辽宁,中国,40.263645,122.12724
CN101070807,老边,营口,辽宁,中国,40.682724,122.38258
CN101070901,阜新,阜新,辽宁,中国,42.058605,121.743126
CN101070902,彰武,阜新,辽宁,中国,42.384823,122.537445
CN101070903,海州,阜新,辽宁,中国,42.01116,121.65764
CN101070904,新邱,阜新,辽宁,中国,42.0866,121.79054
CN101070905,太平,阜新,辽宁,中国,42.011147,121.677574
CN101070906,清河门,阜新,辽宁,中国,41.780476,121.42018
CN101070907,细河,阜新,辽宁,中国,42.01922,121.65479
CN101071001,辽阳,辽阳,辽宁,中国,41.2694,123.18152
CN101071002,辽阳县,辽阳,辽宁,中国,41.21648,123.07967
CN101071003,灯塔,辽阳,辽宁,中国,41.427837,123.32587
CN101071004,弓长岭,辽阳,辽宁,中国,41.15783,123.43163
CN101071005,白塔,辽阳,辽宁,中国,41.26745,123.17261
CN101071006,文圣,辽阳,辽宁,中国,41.266766,123.188225
CN101071007,宏伟,辽阳,辽宁,中国,41.205746,123.20046
CN101071008,太子河,辽阳,辽宁,中国,41.251682,123.18533
CN101071101,铁岭,铁岭,辽宁,中国,42.223316,123.72567
CN101071102,开原,铁岭,辽宁,中国,42.54214,124.04555
CN101071103,昌图,铁岭,辽宁,中国,42.784443,124.11017
CN101071104,西丰,铁岭,辽宁,中国,42.73809,124.72332
CN101071105,调兵山,铁岭,辽宁,中国,42.450733,123.545364
CN101071106,银州,铁岭,辽宁,中国,42.29228,123.84488
CN101071107,清河,铁岭,辽宁,中国,42.542976,124.14896
CN101071201,朝阳,朝阳,辽宁,中国,41.57676,120.45118
CN101071202,双塔,朝阳,辽宁,中国,41.579388,120.44877
CN101071203,凌源,朝阳,辽宁,中国,41.243088,119.40479
CN101071204,喀左,朝阳,辽宁,中国,41.05,119.43
CN101071205,北票,朝阳,辽宁,中国,41.803288,120.76695
CN101071206,龙城,朝阳,辽宁,中国,41.576748,120.413376
